"Zeitstempel","An was denken Sie, wenn Sie den Begriff Nachhaltigkeit hören? ","Ist es für Sie wichtig Ihren Wohnraum und ihre Einrichtung nachhaltig zu gestalten?","Ist Ihnen der Begriff Upcycling im Bereich Wohnen bekannt?","Haben Sie in der Vergangenheit alte oder nutzlos gewordene Möbel, sowie Gegenstände selber aufgewertet, um ihre Lebensdauer zu verlängern?","Hätten Sie Interesse, an einem Upcycling-Workshop teilzunehmen?","Wie haben Sie bisher Informationen darüber erhalten, wie man nachhaltig ""Wohnen"" kann?","Haben Sie in der Vergangenheit gebrauchte Möbel (Second-Hand-Möbel) gekauft und verwendet?","Sind Ihnen Läden oder Märkte bekannt, in denen man nachhaltige Möbel, sowie gebrauchte Möbel kaufen könnte?","Wären Sie dafür, den Ressourcenverbrauch von Einrichtungsgegenständen auf den Produkten transparent zu machen?","Zu welchem Thema im Bereich Wohnen würden Sie sich ein Angebot in Gießen wünschen (z.B. Informationen, Workshops)?","Ist es für Sie wichtig in der Zukunft, im Lebensbereich ""Wohnen"" Nachhaltigkeit zu integrieren ?"
"2024/01/31 4:14:36 PM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur","2","Ja","Ja","","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","","","1"
"2024/01/31 4:16:56 PM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur","2","Ja","Ja","","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","","","1"
"2024/01/31 4:23:47 PM MEZ","Klimaschutz;Konsum und Produktion","3","Ja","Nein","","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","","","2"
"2024/02/01 11:05:34 AM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur","3","Nein","Ja","Nein","Bekannten-, Freundeskreis","Nein","Ja","","","2"
"2024/02/01 11:14:01 AM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur;Wirtschaft und Arbeit","3","Nein","Ja","Nein","Bekannten-, Freundeskreis","Nein","Ja","Ja","","2"
"2024/02/01 11:20:15 AM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur;Wirtschaft und Arbeit;Hochwertige Bildung","3","Ja","Nein","Ja","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","Ja","","2"
"2024/02/01 11:26:30 AM MEZ","Klimaschutz;Konsum und Produktion","2","Ja","Ja","Ja","Soziale Medien;Printmedien;Bekannten-, Freundeskreis","Ja","Ja","Ja","Workshop dazu wie man seinen Alltag nachhaltiger gestalten kann","2"
"2024/02/01 11:31:42 AM MEZ","Klimaschutz;Konsum und Produktion","2","Ja","Ja","Ja","Soziale Medien","Ja","Ja","Ja","","2"
"2024/02/01 11:38:38 AM MEZ","Klimaschutz;Konsum und Produktion;Gesundheit und Wohlergehen","2","Ja","Ja","Ja","Soziale Medien;Bekannten-, Freundeskreis","Nein","Ja","Ja","Workshops","1"
"2024/02/01 11:40:36 AM MEZ","Klimaschutz;Konsum und Produktion","3","Ja","Ja","Ja","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","Ja","","3"
"2024/02/01 11:40:46 AM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur;Wirtschaft und Arbeit","2","Ja","Ja","Ja","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","Ja","Upcycling von Möbeln","1"
"2024/02/01 11:41:31 AM MEZ","Klimaschutz;Konsum und Produktion;Wirtschaft und Arbeit;Gesundheit und Wohlergehen;Hochwertige Bildung","2","Ja","Ja","Nein","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","Ja","-","2"
"2024/02/01 11:43:07 AM MEZ","Klimaschutz;Konsum und Produktion","2","Ja","Nein","Ja","Soziale Medien","Nein","Nein","Ja","alte Möbel aufwerten ","1"
"2024/02/01 11:47:01 AM MEZ","Klimaschutz;Konsum und Produktion;Wirtschaft und Arbeit;Sonstiges","2","Ja","Ja","Ja","Soziale Medien;Bekannten-, Freundeskreis","Ja","Nein","Ja","Wie finde ich gute Auswahl von alten Möbel, z.b Ebay, Warenhäuser usw.","1"
"2024/02/01 11:47:26 AM MEZ","Klimaschutz;Konsum und Produktion;Gesundheit und Wohlergehen","2","Ja","Ja","Ja","Soziale Medien","Ja","Ja","Ja","","1"
"2024/02/01 11:49:09 AM MEZ","Klimaschutz;Wirtschaft und Arbeit","3","Nein","Nein","Nein","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","Ja","","2"
"2024/02/01 11:51:56 AM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur","2","Ja","Nein","Ja","Soziale Medien","Nein","Nein","Ja","Raumausstattung","2"
"2024/02/01 12:04:33 PM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur;Wirtschaft und Arbeit;Gesundheit und Wohlergehen","3","Ja","Ja","Ja","Soziale Medien;Printmedien","Ja","Ja","Ja","Upcycling, Wohngenossenschaften, Enteignung von Immobilienkonzernen","2"
"2024/02/01 12:06:54 PM MEZ","Konsum und Produktion","2","Ja","Ja","Ja","Soziale Medien","Ja","Nein","Ja","Workshops","1"
"2024/02/01 12:13:48 PM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur;Wirtschaft und Arbeit;Gesundheit und Wohlergehen;Hochwertige Bildung;Sonstiges","3","Nein","Ja","Ja","Ich habe bislang keine Informationen über nachhaltiges Wohnen erlangt.","Ja","Ja","Nein","Informationen","3"
"2024/02/01 12:19:11 PM MEZ","Klimaschutz;Konsum und Produktion","3","Ja","Nein","Ja","Soziale Medien","Ja","Ja","Ja","Kreative Nutzung von Secondhand Möbeln","2"
"2024/02/01 12:28:53 PM MEZ","Konsum und Produktion","2","Ja","Ja","Ja","Soziale Medien","Ja","Ja","Ja","","1"
"2024/02/01 1:05:40 PM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur;Hochwertige Bildung","4","Der Begriff ist mir bekannt, aber in anderen Lebensbereichen.","Ja","Nein","Soziale Medien;Bekannten-, Freundeskreis","Ja","Nein","Ja","","3"
"2024/02/01 1:21:59 PM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur;Wirtschaft und Arbeit","2","Ja","Ja","Ja","Soziale Medien","Ja","Ja","Ja","","2"
"2024/02/01 3:32:53 PM MEZ","Konsum und Produktion;Wirtschaft und Arbeit;Gesundheit und Wohlergehen;Hochwertige Bildung","1","Ja","Ja","Ja","Ich habe bislang keine Informationen über nachhaltiges Wohnen erlangt.","Ja","Ja","Ja","Informationen zur Umsetzung von verschiedenen Wohnkonzepten (z.B. Generationenwohnen, Mietshäusersyndikat, Kommunen...) und wie man dabei unterstützt werden kann. ","1"
"2024/02/02 11:29:27 AM MEZ","Klimaschutz;Konsum und Produktion","2","Ja","Nein","Ja","Soziale Medien","Nein","Ja","Ja","","2"
"2024/02/02 12:06:28 PM MEZ","Konsum und Produktion","2","Ja","Ja","Nein","Soziale Medien","Ja","Nein","Ja","","2"
"2024/02/02 2:23:30 PM MEZ","Klimaschutz;Konsum und Produktion","1","Ja","Ja","Ja","Soziale Medien","Ja","Ja","Ja","Beetbau ","1"
"2024/02/02 6:21:37 PM MEZ","Klimaschutz;Konsum und Produktion","2","Ja","Ja","Ja","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","Ja","","2"
"2024/02/02 8:30:17 PM MEZ","Klimaschutz;Konsum und Produktion;Gesundheit und Wohlergehen","2","Ja","Ja","Nein","Soziale Medien","Ja","Nein","Ja","","1"
"2024/02/02 10:43:00 PM MEZ","Klimaschutz;Konsum und Produktion;Wirtschaft und Arbeit","2","Ja","Nein","Ja","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","Ja","Kurse","2"
"2024/02/02 10:44:23 PM MEZ","Klimaschutz;Wirtschaft und Arbeit;Gesundheit und Wohlergehen","2","Ja","Ja","Nein","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","Ja","Upcyling von Möbel ","2"
"2024/02/02 10:46:27 PM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur;Wirtschaft und Arbeit;Gesundheit und Wohlergehen","2","Ja","Ja","Ja","Soziale Medien;Printmedien;Bekannten-, Freundeskreis","Ja","Ja","Ja","Modernes Upcyling von Möbel ","2"
"2024/02/03 12:48:44 AM MEZ","Klimaschutz;Konsum und Produktion","1","Ja","Ja","Ja","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","Ja","Upcycling, Balkon-Gardening, Ökostrom/,-gas","1"
"2024/02/03 11:30:12 AM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur","1","Ja","Ja","Ja","Soziale Medien","Ja","Ja","Ja","Mehr Connection mit anderen am Thema interessierten Personen","1"
"2024/02/03 5:51:45 PM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur;Wirtschaft und Arbeit","2","Ja","Ja","Nein","Soziale Medien;Printmedien","Ja","Ja","Ja","Anlaufstelle (App, Website, oä) wo alle nachhaltigen Sachen gebündelt sind (zB dann auch Second Hand Möbel). Die Jugendwerkstatt ist ganz nett, aber ich hätte gerne ein richtiges Warenhaus mit nur gebrauchten Gegenständen, aber halt alle Kategorien Bereich Wohnen. Die Jugendwerkstatt deckt nur ein paar ab.","1"
"2024/02/05 11:31:27 AM MEZ","Klimaschutz;Konsum und Produktion;Gesundheit und Wohlergehen","3","Ja","Ja","Ja","Soziale Medien","Ja","Ja","Ja","Vermieter prüfen ob die Wucher betreiben","2"
"2024/02/05 11:38:26 AM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur","1","Ja","Ja","Nein","Soziale Medien","Nein","Ja","Ja","Nachhaltige Gebaudesanierung","1"
"2024/02/05 12:05:46 PM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur","2","Ja","Ja","Nein","Soziale Medien","Ja","Ja","Ja","","2"
"2024/02/05 12:15:49 PM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur","2","Ja","Nein","Nein","Soziale Medien","Ja","Ja","Ja","Informationen ","1"
"2024/02/05 5:22:06 PM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur;Wirtschaft und Arbeit;Gesundheit und Wohlergehen;Hochwertige Bildung","2","Ja","Ja","Ja","Soziale Medien;Universität;Bekannten-, Freundeskreis","Ja","Nein","Ja","","1"